ID,What makes you feel overwhelmed?,Talk to friend,Talk to parent,Talk to teacher,Talk to counselor,Talk to other,What are ways you deal with stress?,Comfortable helping friend?,Choose between grade/kind,What is one thing to make you more proud?,,,,,,,,,,Talk to no one,18.13%,5.93%,12.19%,24.06%
1,pretty much life,1,0,0,0,,sleep and eat,1,Kind,more focus on student happiness,,,,,,,,,,Talk to friend,69.14%,7.11%,62.02%,76.25%
2,homework,0,1,0,0,,hit something,1,Grade,less homework,,,,,,,,,,Talk to parent,41.98%,7.60%,34.38%,49.57%
3,nothing,0,0,0,0,no one,i'm rarely stressed,1,Kind,Getting out of here (CHS),,,,,,,,,,Talk to teacher,6.79%,3.87%,2.92%,10.66%
4,school,1,1,0,0,my pillow,"talk to people, play video games",1,Kind,,,,,,,,,,,Talk to counselor,6.17%,3.71%,2.47%,9.88%
5,bad grades,0,0,0,0,i handle it myself,listen to music,1,Kind,Better grades,,,,,,,,,,Comfortable helping friend,91.93%,4.20%,87.73%,96.12%
6,math,0,0,0,0,no one,play games,1,,Less math,,,,,,,,,,,,,,
7,"school work, not understanding things",1,0,0,0,,"do not do homework, do not go to school",1,Grade,no idea,,,,,,,,,,,,,,
8,having a lot of homework/tests/projects at the same time,1,1,0,0,,talking to people about it,1,Grade,,,,,,,,,,,,,,,
9,waking up early and a lot of homework,0,1,0,0,,music,1,Grade,New principal,,,,,,,,,,,,,,
10,"finals, test, anything that involves essays",1,1,0,0,,I listen to calming music and take a nap every once and a while,1,Kind,Study more lol,,,,,,,,,,,,,,
11,school work,1,1,1,0,,crying,1,Kind,better grades,,,,,,,,,,,,,,
12,algebra 2,1,1,0,0,,build legos,1,Grade,Better grade in algebra 2,,,,,,,,,,,,,,
13,too much homework,1,0,0,0,,"relaxing, swimming, talking to friends",1,Kind,Be more friendly to random people,,,,,,,,,,,,,,
14,teachers thinking their class is the only one that matters so they give so much homework disregarding the fact that we have other work in other classes too,1,0,0,0,,weed and netflix,0,Grade,"I will never be a proud greyhound, this place sucks (the people not administration)",,,,,,,,,,,,,,
15,"school, education, homework",0,1,0,0,,sleep,1,Kind,not as much homework and classwork,,,,,,,,,,,,,,
16,multiple tests and projects due around the same time,1,1,0,0,,music and sleep,1,Grade,Less tests and projects with people I can't work with,,,,,,,,,,,,,,
17,"a lack of time to study, do homework, and do my extra curricular activites",1,0,0,0,,running and sleeping,1,Grade,Nicer students/peers. Some bad people have caused bad sterotypes,,,,,,,,,,,,,,
18,,,,,,,,1,Kind,,,,,,,,,,,,,,,
19,Too much going on at one time,1,0,0,0,,"Breathe, get my mind off things, find something to do that has nothing to do with it",1,Grade,"White people not saying ""nigga""",,,,,,,,,,,,,,
20,homework,0,0,0,0,,sleep,1,Grade,,,,,,,,,,,,,,,
21,"everything, i get overwhelmed easily",1,0,0,0,,I don't,1,Kind,"IDK, I want to feel happy with myself",,,,,,,,,,,,,,
22,"too much homework, bad grades, not enough time, etc",1,1,0,0,,"listening to music, taking photos, eating",1,Kind,"having less of a ""rich kids"" look",,,,,,,,,,,,,,
23,Grades,0,0,0,0,no one,idk,1,Grade,more awareness,,,,,,,,,,,,,,
24,"school, work, procrastinating",0,1,0,0,,"punching walls, finish work, breathing",1,Kind,Graduating,,,,,,,,,,,,,,
25,"not doing my homework, forgot to study",0,0,0,0,myself,"mediation, deep breath, do work",1,,less traffic in the hallway,,,,,,,,,,,,,,
26,"lots of homework, bad teachers, spanish class screw spanish that course is horrible",0,0,0,0,myself,eat and work out and jack off,1,Grade,less homework,,,,,,,,,,,,,,
27,too much info at the same time,0,0,1,1,,writing or surpressing it,1,Kind,"people's awareness of others around them, not so self absorbed",,,,,,,,,,,,,,
28,"school, teachers, homework, nhis",1,0,0,0,,,1,Kind,but carmel makes grades matter more,,,,,,,,,,,,,,
29,"school in general, grades, work",1,0,0,0,sisters,"cuss, skateboarding, fishing",1,Grade,if the high school wasn't up their own ass and uptight,,,,,,,,,,,,,,
30,"homework, school, tests, mean people",1,0,0,0,no one,"sleeping, eating, haning with friends, not going to school",0,Kind,everything perfect and no homework free time with friends nap time and yillin,,,,,,,,,,,,,,
31,homework (the amount of it),0,0,0,0,no one,wrestling,1,Kind,Getting rid of all the drugs and kids who are spoiled brats,,,,,,,,,,,,,,
32,"Homework, studying for tests and quizzes, sleep",1,1,1,0,,"fly drones, be with friends and being as many clubs as possible",1,Kind,"More time in the mornings and having to choose study path and not worrying about other classes, find no interest in them and then fail because of them",,,,,,,,,,,,,,
33,School,1,0,0,0,,I play on my phone,1,Grade,I would change how the way we learn at school,,,,,,,,,,,,,,
34,"school, homework, people, college choices, parents",1,0,0,0,,"sleep, ignore whatever is causing me stress",1,Kind,If we don't use all of our snow days we should get a random day off in May. If we have a meet/sports game that goes past 9:30 we should have an excused hour delay the next day. We should have classes where you obtain a useful skill certificate thing.,,,,,,,,,,,,,,
35,Homework,0,0,0,0,,,1,Grade,,,,,,,,,,,,,,,
36,"School, drama with friends, time mangement, making plans with friends",1,0,0,0,,"talking about it, doing something besides the things that make me overwhelmed, watching tv to get my mind off of it",1,Kind,I'm already proud to be a greyhound so I wouldn't change anything,,,,,,,,,,,,,,
37,"getting a bad grade, getting behind in school",1,0,0,0,,"swimming, sleep, listening to music",1,Grade,nothing,,,,,,,,,,,,,,
38,too many projects,1,0,0,0,,I don't have any ways to deal with it,1,Grade,longer periods during tests,,,,,,,,,,,,,,
39,"massive amounts of homework, essays, due dates, school in general, tests, teachers, things like that",1,0,0,0,my dog,"television, cereal",1,Grade,more freedom as students,,,,,,,,,,,,,,
40,school,1,1,0,0,,listening to music,1,Grade,I don't know. I'm just trying to graduate,,,,,,,,,,,,,,
41,homework,0,0,0,0,i wouldn't put my stress on anyone else,"video games, longboarding",0,Grade,Constantly getting better grades,,,,,,,,,,,,,,
42,"school work, not going what's going on in the class and teachers not helping",1,0,0,0,,"working out, taking naps",1,Kind,"Having people be nice to one another, because you never know what obstacles someone is going through",,,,,,,,,,,,,,
43,School work when I don't turn it in on time,1,0,0,0,,talk to friends,,Grade,Nothing,,,,,,,,,,,,,,
44,all of my homework and studying i have to do while having a perfect attendance in sports,1,0,0,0,most of the time I just suck it up,sleep and swimming or kayaking,1,Grade,better grades,,,,,,,,,,,,,,
45,tests,0,1,0,0,,sleep,1,Kind,Talk to more people,,,,,,,,,,,,,,
46,"too much homework, big projects, tests",1,0,0,0,,"eat, sleep, run",1,Kind,nicer people,,,,,,,,,,,,,,
47,all of my classes/teachers,0,0,0,0,no one,i just live my life and keep going,maybe,Grade,Honestly I'm so tired of sitting in a cold hard desk for six hours a day.,,,,,,,,,,,,,,
48,thinking about future and taking on projects I don't realize are too big before it's too late,1,1,0,1,,,0,Grade,,,,,,,,,,,,,,,
49,all of the tests/quizzes we take,1,1,0,0,,I just try my best to stay on top of things,1,Grade,if I had classes with my friends I'd be more comfortable in them,,,,,,,,,,,,,,
50,"homework, presentations, tests I haven't studied for",0,0,0,1,,"take a nap, shower, eat",1,Grade,If the school donated all unused books/supplies at the end of the year instead of throwing it away,,,,,,,,,,,,,,
51,"having multiple tests, quizzes, presentations etc on the same day",0,1,0,0,,"shower, drink lots of water and talk to friends",1,Grade,,,,,,,,,,,,,,,
52,Expectations,1,0,0,0,,don't worry about it,1,Kind,less work,,,,,,,,,,,,,,
53,school work,1,1,1,0,,prioritize,1,Grade,more involved,,,,,,,,,,,,,,
54,taking tests even when i've studided really hard for them,1,0,0,0,,crying and eating,1,Kind,"more recognition of certain clubs or sports, etc. Me becoming more involved. Better systems with cabinet and GKOM",,,,,,,,,,,,,,
55,all the homework with the no time I have,1,1,1,0,,talk about it,1,Kind,nothing,,,,,,,,,,,,,,
56,"school, grades",1,1,0,0,,"take frequent breaks, sleep",1,Kind,help others more,,,,,,,,,,,,,,
57,homework/projects,1,0,0,0,,"meet with friends, play fortnite",1,Grade,participate in more school events,,,,,,,,,,,,,,
58,Large amounts of projects with short time frames,1,0,0,0,,"watch netflix, sleep, work on stuff",1,Grade,The people who represent the school,,,,,,,,,,,,,,
59,being overloaded with work/problems,0,1,0,0,,read/listen to music,1,Grade,people to be more inclusive,,,,,,,,,,,,,,
60,CHS,1,0,0,0,,netflix,1,Grade,,,,,,,,,,,,,,,
61,huge projects,1,0,0,0,myself lol,"music, friends, youtube, ignoring reality",1,Grade,no idea,,,,,,,,,,,,,,
62,all of the above,0,0,0,0,myself,"sleep, cry, watch youtube",1,Grade,graduate,,,,,,,,,,,,,,
63,tests and long essays,1,1,0,0,,listening to music,1,Kind,be move involved,,,,,,,,,,,,,,
64,"school, stress, parents",1,1,0,1,,"listen to music, write things down, relax",1,Kind,the amount of stress teachers put on students,,,,,,,,,,,,,,
65,school,1,1,0,0,,not think about it,1,Grade,talking to more people,,,,,,,,,,,,,,
66,when a lot of stuff is given to me,1,1,0,0,,working out,1,Grade,nothing,,,,,,,,,,,,,,
67,"large amounts of homework, projects, and tests",1,0,0,0,,take a break and relaxing,1,Grade,become more involved,,,,,,,,,,,,,,
68,"school, stress, and thinking about the future",1,1,0,0,,plan out what I will do ahead of time and set a schedule,1,Grade,I would be inolved in more activites going around in the school,,,,,,,,,,,,,,
69,too much school work,1,1,0,0,,"music, talk to friends/family",1,Kind,I don't know,,,,,,,,,,,,,,
70,too much schoolwork,1,0,0,0,,listen to music,1,Kind,I don't know,,,,,,,,,,,,,,
